,date,close,diff,open,high,low,volume
1247,2017-04-14,88800,800,87800,90200,87500,1146797
1246,2017-04-17,89100,300,90000,90300,88400,747833
1243,2017-04-18,88200,900,89100,89800,88000,539494
1242,2017-04-19,87200,1000,87000,88600,86500,686885
1241,2017-04-20,90800,3600,88900,91100,88200,1559946
1240,2017-04-21,90000,800,91700,91900,89600,860895
1239,2017-04-24,90200,200,90600,91500,89300,609794
1235,2017-04-25,90800,600,90700,90800,89600,512570
1234,2017-04-26,92600,1800,91800,94100,91400,1219425
1233,2017-04-27,91400,1200,93000,93000,91200,487452
1232,2017-04-28,90400,1000,91700,92300,89300,597202
1231,2017-05-02,92600,2200,91500,92800,91000,547726
1228,2017-05-04,94000,1400,93800,94900,93200,641966
1227,2017-05-08,95000,1000,94200,95000,93400,606290
1226,2017-05-10,94000,1000,95800,95800,93600,591255
1225,2017-05-11,95200,1200,95800,96000,94800,742959
1224,2017-05-12,95800,600,95700,95800,94500,456417
1220,2017-05-15,93800,2000,95800,96300,93500,637232
1219,2017-05-16,95200,1400,94500,95400,94100,523113
1218,2017-05-17,95200,0,95500,95600,94200,367716
1217,2017-05-18,95200,0,94000,95500,93800,494101
1216,2017-05-19,98000,2800,95500,98400,95500,864141
1213,2017-05-22,99500,1500,99000,99500,97700,586072
1212,2017-05-23,99000,500,99600,99800,98500,441606
1211,2017-05-24,99500,500,98900,99500,98200,365620
1210,2017-05-25,98600,900,99900,99900,98600,373447
1209,2017-05-26,99700,1100,99200,101000,99100,495326
1205,2017-05-29,99200,500,100200,100200,99100,382156
1204,2017-05-30,98100,1100,99500,99700,98000,452940
1203,2017-05-31,98800,700,98200,99400,98200,543164
1202,2017-06-01,98800,0,99000,99400,98200,268742
1201,2017-06-02,100800,2000,99200,100900,99200,602328
1198,2017-06-05,104500,3700,101500,104600,101200,840185
1197,2017-06-07,108000,3500,105000,108300,104200,1018606
1196,2017-06-08,108500,500,108800,110100,106700,993097
1195,2017-06-09,109800,1300,108500,110000,107900,589751
1194,2017-06-12,105000,4800,107000,107800,103400,1280193
1190,2017-06-13,106900,1900,106200,107500,105500,655263
1189,2017-06-14,106400,500,108100,108400,105000,675374
1188,2017-06-15,105500,900,106700,106900,104800,418961
1187,2017-06-16,102900,2600,105300,105400,102100,945380
1186,2017-06-19,103800,900,102400,104500,102400,395315
1183,2017-06-20,101500,2300,104900,105000,101100,557636
1182,2017-06-21,98800,2700,100200,100300,98000,953598
1181,2017-06-22,98000,800,99800,99900,97100,552636
1180,2017-06-23,101500,3500,97800,101500,97500,540430
1179,2017-06-26,100200,1300,101700,102100,99700,388658
1175,2017-06-27,103800,3600,100700,104400,100400,729641
1174,2017-06-28,100800,3000,102200,103000,100500,418589
1173,2017-06-29,101500,700,102400,102700,100800,254580
1172,2017-06-30,101500,0,100300,103300,100300,322137
1171,2017-07-03,99400,2100,102400,102700,99100,466365
1168,2017-07-04,98300,1100,99900,100500,98000,436397
1167,2017-07-05,102500,4200,98500,102600,98500,596647
1166,2017-07-06,104100,1600,103300,105900,103200,707536
1165,2017-07-07,101600,2500,103500,103700,100200,996796
1164,2017-07-10,102000,0,102500,103500,101000,356174
1160,2017-07-11,100500,1500,102500,102500,99700,352591
1159,2017-07-12,98500,2000,98500,99900,97600,621240
1158,2017-07-13,99900,1400,99200,100500,98500,318819
1157,2017-07-14,99000,900,100500,101500,99000,197097
1156,2017-07-17,100500,1500,99200,101000,99200,211816
1153,2017-07-18,103500,3000,101500,104500,101000,701273
1152,2017-07-19,105000,1500,105000,106000,103500,444737
1151,2017-07-20,105000,0,106000,106500,105000,347492
1150,2017-07-21,108000,3000,105500,108000,105000,595184
1149,2017-07-24,109000,1000,108500,110500,107000,628757
1145,2017-07-25,107500,1500,109500,110000,107000,324849
1144,2017-07-26,105500,2000,108000,108500,104000,467047
1143,2017-07-27,109500,4000,107500,109500,106000,755654
1142,2017-07-28,111000,1500,112500,114000,109500,1687002
1141,2017-07-31,120000,9000,113500,121000,112500,3120156
1138,2017-08-01,118000,2000,121500,124500,117000,2508504
1137,2017-08-02,114500,3500,113500,116500,110500,2152274
1136,2017-08-03,114500,0,116500,117000,112500,1007302
1135,2017-08-04,110500,4000,113500,115500,110000,941027
1134,2017-08-07,110500,0,111000,112500,108000,678083
1130,2017-08-08,111000,500,110500,113500,110500,478659
1129,2017-08-09,108500,2500,111000,111500,107500,623624
1128,2017-08-10,108500,0,110000,111500,107000,790214
1127,2017-08-11,110000,1500,107500,110500,106500,783638
1126,2017-08-14,113000,3000,112500,114000,111000,705373
1123,2017-08-16,114500,1500,114500,115000,113500,545437
1122,2017-08-17,114500,0,115500,116000,113500,359227
1121,2017-08-18,113500,1000,113000,115000,112500,353415
1120,2017-08-21,114000,500,114000,115000,113000,257439
1119,2017-08-22,115500,1500,114500,116500,113000,434151
1115,2017-08-23,115000,500,116500,116500,114500,284841
1114,2017-08-24,116500,1500,115500,118500,115500,494534
1113,2017-08-25,117500,1000,117500,118500,116500,411686
1112,2017-08-28,118000,500,118000,118500,116500,298415
1111,2017-08-29,119000,1000,117000,120000,116500,679797
1108,2017-08-30,122000,3000,122500,125000,122000,1279951
1107,2017-08-31,123000,1000,123000,124500,122000,615126
1106,2017-09-01,122000,1000,123000,123000,120000,509704
1105,2017-09-04,119500,2500,117500,122000,117500,727539
1104,2017-09-05,125500,6000,121500,126000,120500,1049572
1100,2017-09-06,128000,2500,126000,129000,125000,1081421
1099,2017-09-07,127000,1000,128000,129000,126500,635882
1098,2017-09-08,129500,2500,128000,130000,127500,654931
1097,2017-09-11,130500,1000,130000,132000,129500,664143
1096,2017-09-12,130500,0,130500,131000,128500,640335
1093,2017-09-13,127500,3000,130000,130000,127000,972020
1092,2017-09-14,132000,4500,129000,133000,128500,2492580
1091,2017-09-15,135500,3500,132500,136000,131000,1146819
1090,2017-09-18,135500,0,136500,137500,135000,718173
1089,2017-09-19,137000,1500,135000,137000,132000,646410
1085,2017-09-20,142500,5500,138000,144000,138000,1321516
1084,2017-09-21,142000,500,144000,144500,139500,815469
1083,2017-09-22,138500,3500,140000,142500,137000,917817
1082,2017-09-25,138500,0,136000,140500,134000,693111
1081,2017-09-26,141000,2500,138500,141500,138500,548612
1078,2017-09-27,140500,500,141500,142000,139500,457782
1077,2017-09-28,139500,1000,140500,141000,139000,320185
1076,2017-09-29,144000,4500,140500,145000,139500,750550
1075,2017-10-10,149000,5000,147000,149500,145500,837504
1074,2017-10-11,150500,1500,149500,151500,148000,523485
1070,2017-10-12,159500,9000,151500,159500,151000,1304122
1069,2017-10-13,152500,7000,160000,168000,151500,2543079
1068,2017-10-16,156000,3500,150500,157000,146000,1723984
1067,2017-10-17,157500,1500,157000,159000,153000,719696
1066,2017-10-18,148500,9000,156500,156500,147500,1640427
1063,2017-10-19,147000,1500,149000,151500,145000,1065448
1062,2017-10-20,150000,3000,149000,151500,148000,667108
1061,2017-10-23,151000,1000,149000,151500,147500,565904
1060,2017-10-24,150000,1000,151000,153000,150000,467080
1059,2017-10-25,146000,4000,151500,152000,145000,768872
1055,2017-10-26,140000,6000,145500,145500,139000,1893626
1054,2017-10-27,143500,3500,139500,143500,136500,1032642
1053,2017-10-30,142000,1500,144000,146500,140500,652066
1052,2017-10-31,144000,2000,143000,146000,142500,465396
1051,2017-11-01,151000,7000,145000,151500,143000,1022580
1048,2017-11-02,150000,1000,152500,153000,149000,506579
1047,2017-11-03,152500,2500,151000,153000,146500,627354
1046,2017-11-06,153000,500,153500,154000,151500,497572
1045,2017-11-07,154000,1000,153500,155000,152000,482499
1044,2017-11-08,157500,3500,154500,158000,154000,821591
1040,2017-11-09,152500,5000,159500,162500,149500,1633218
1039,2017-11-10,152500,0,151000,156000,150000,737490
1038,2017-11-13,154000,1500,153000,155500,152000,604366
1037,2017-11-14,155000,1000,154000,156000,152500,516918
1036,2017-11-15,154000,1000,155500,156000,153500,491354
1033,2017-11-16,154500,500,154000,155500,152000,420594
1032,2017-11-17,157500,3000,155500,159500,154500,718319
1031,2017-11-20,160000,2500,158500,161000,158000,714306
1030,2017-11-21,161000,1000,161500,166000,160000,1244207
1029,2017-11-22,154500,6500,161000,161500,153000,4520630
1025,2017-11-23,149500,5000,155000,156000,149500,1224919
1024,2017-11-24,148000,1500,150000,153500,146500,1274472
1023,2017-11-27,147500,500,147500,151000,147000,771973
1022,2017-11-28,145500,2000,147500,148000,145000,651234
1021,2017-11-29,145000,500,146000,146500,142000,1022981
1018,2017-11-30,136500,8500,145000,145500,135000,1808464
1017,2017-12-01,140000,3500,136500,141000,136500,867012
1016,2017-12-04,139500,500,140500,143000,138500,481190
1015,2017-12-05,140500,1000,139000,141000,134000,779716
1014,2017-12-06,138000,2500,139500,143000,138000,470275
1010,2017-12-07,135500,2500,138000,139000,133000,813930
1009,2017-12-08,138500,3000,137000,140500,137000,565316
1008,2017-12-11,140000,1500,140500,140500,138000,284302
1007,2017-12-12,141000,1000,139500,143500,138000,445846
1006,2017-12-13,141000,0,141000,142000,138500,283499
1003,2017-12-14,144000,3000,142000,145000,142000,639895
1002,2017-12-15,142500,1500,144500,145000,142000,345053
1001,2017-12-18,134500,8000,138000,139500,133500,1462446
1000,2017-12-19,135500,1000,133500,136500,131500,681961
999,2017-12-20,133500,2000,135000,137500,133500,533044
995,2017-12-21,129000,4500,134000,134000,129000,717635
994,2017-12-22,129500,500,128000,130500,126500,586870
993,2017-12-26,126000,3500,130500,130500,125000,737536
992,2017-12-27,139500,13500,130000,140000,129500,1561744
991,2017-12-28,137000,2500,139500,141500,134500,948214
988,2018-01-02,146500,9500,140000,147000,139500,1345951
987,2018-01-03,149000,2500,150500,151000,145500,1154361
986,2018-01-04,156000,7000,152500,159000,149500,2265019
985,2018-01-05,156000,0,157000,158000,152000,1067202
984,2018-01-08,159500,3500,160500,162500,158000,1577403
980,2018-01-09,157000,2500,158000,160000,154500,1010891
979,2018-01-10,149500,7500,156000,158500,148000,1656798
978,2018-01-11,140500,9000,142000,146500,138000,2474827
977,2018-01-12,140500,0,145500,145500,139000,1377402
976,2018-01-15,145000,4500,141500,147500,141500,1265024
973,2018-01-16,140500,4500,144500,145000,140000,1117873
972,2018-01-17,134000,6500,139000,139000,133000,2415858
971,2018-01-18,135500,1500,134500,138500,134000,1965579
970,2018-01-19,138000,2500,136000,139000,134000,1132433
969,2018-01-22,135500,2500,138000,139000,135000,815041
965,2018-01-23,136500,1000,135500,138000,135000,965243
964,2018-01-24,135000,1500,136500,138000,134500,760888
963,2018-01-25,135000,0,135000,137500,134500,649676
962,2018-01-26,140000,5000,136000,141000,135000,1271640
961,2018-01-29,139000,1000,141000,141500,138500,708612
958,2018-01-30,138500,500,139000,140500,137500,642199
957,2018-01-31,140000,1500,137500,140000,135000,943362
956,2018-02-01,141500,1500,140000,142000,137500,910082
955,2018-02-02,143500,2000,142000,145000,141500,2099421
954,2018-02-05,134500,9000,139500,140000,134500,1624472
950,2018-02-06,131000,3500,126500,131000,125000,2291759
949,2018-02-07,126500,4500,134000,134500,126500,1043100
948,2018-02-08,126500,0,127000,130000,124500,1044087
947,2018-02-09,118000,8500,121500,124500,117000,2074927
946,2018-02-12,118000,0,119000,120000,116500,817489
943,2018-02-13,119000,1000,120000,121000,118500,721603
942,2018-02-14,122500,3500,119500,125000,119000,858572
941,2018-02-19,124000,1500,126000,126000,123000,419351
940,2018-02-20,123000,1000,124000,124500,121500,288935
939,2018-02-21,124500,1500,123500,125500,122000,396493
935,2018-02-22,123500,1000,124500,125000,122000,306321
934,2018-02-23,123500,0,123500,124000,122000,383787
933,2018-02-26,123000,500,124500,124500,122500,303789
932,2018-02-27,131000,8000,124000,131000,124000,1272000
931,2018-02-28,128000,3000,130000,132500,127000,857397
928,2018-03-02,127500,500,126500,128500,124500,474394
927,2018-03-05,123000,4500,127500,128000,123000,417227
926,2018-03-06,132500,9500,126000,134000,126000,1167882
925,2018-03-07,129500,3000,133000,133500,129000,596902
924,2018-03-08,132000,2500,129500,132000,128500,499256
920,2018-03-09,134000,2000,133000,135500,131000,753680
919,2018-03-12,135000,1000,136000,136500,134500,384411
918,2018-03-13,140500,5500,135500,141000,135000,1320091
917,2018-03-14,137000,3500,139500,140000,136000,703764
916,2018-03-15,141500,4500,137500,141500,137000,950867
913,2018-03-16,141000,500,141500,143000,139000,1024727
912,2018-03-19,137500,3500,140000,140500,136000,610095
911,2018-03-20,139000,1500,135500,140000,135000,556447
910,2018-03-21,138000,1000,139000,140000,137500,416757
909,2018-03-22,138000,0,137000,139000,135500,567619
905,2018-03-23,130500,7500,135000,136000,129500,1233587
904,2018-03-26,131000,500,129500,132500,126500,962796
903,2018-03-27,131500,500,134500,134500,131000,451505
902,2018-03-28,129000,2500,129000,130500,128000,462777
901,2018-03-29,129500,500,129500,131000,126500,437532
898,2018-03-30,132000,2500,131500,133500,130000,447866
897,2018-04-02,129000,3000,132500,133500,128500,454496
896,2018-04-03,128500,500,127000,130500,126500,483608
895,2018-04-04,123500,5000,129000,129000,123500,730140
894,2018-04-05,124500,1000,125000,126000,124000,299168
890,2018-04-06,122500,2000,125000,125500,122000,376868
889,2018-04-09,121500,1000,121500,122500,120000,547412
888,2018-04-10,122500,1000,121500,123500,121500,322551
887,2018-04-11,121500,1000,124000,125000,121000,379388
886,2018-04-12,120000,1500,122000,122500,120000,367434
883,2018-04-13,120500,500,120500,122000,119500,368169
882,2018-04-16,117000,3500,120500,120500,116500,815062
881,2018-04-17,118000,1000,117500,120000,117500,399502
880,2018-04-18,119500,1500,120000,121500,118500,495833
879,2018-04-19,116500,3000,119000,119000,116000,648909
875,2018-04-20,115000,1500,116500,117500,113500,650463
874,2018-04-23,111000,4000,114500,114500,111000,669590
873,2018-04-24,115000,4000,112000,115500,111000,473979
872,2018-04-25,115500,500,115500,119000,113500,607008
871,2018-04-26,114000,1500,116500,117500,113500,366727
868,2018-04-27,113500,500,115000,115500,112000,402728
867,2018-04-30,111000,2500,113500,114000,110000,618640
866,2018-05-02,114500,3500,110500,114500,109500,526839
865,2018-05-03,113500,1000,114500,116500,113000,350536
864,2018-05-04,112000,1500,113000,113500,111500,251346
860,2018-05-08,112000,0,112000,113000,110000,331690
859,2018-05-09,113000,1000,111000,113000,110500,332320
858,2018-05-10,117000,4000,113000,118000,111000,840339
857,2018-05-11,117000,0,117500,118000,116000,367532
856,2018-05-14,113000,4000,114500,116000,111000,657566
853,2018-05-15,114500,1500,112000,115000,112000,320939
852,2018-05-16,117000,2500,114500,117000,113500,466027
851,2018-05-17,116500,500,117500,118500,116000,338096
850,2018-05-18,113500,3000,118500,119000,112500,819348
849,2018-05-21,113500,0,113500,114500,112500,176761
845,2018-05-23,112500,1000,113000,114500,112500,285620
844,2018-05-24,113000,500,112000,114000,112000,208135
843,2018-05-25,112000,1000,112000,114000,111500,257170
842,2018-05-28,108000,4000,111000,111500,108000,679442
841,2018-05-29,108000,0,108000,110000,107500,318837
838,2018-05-30,104000,4000,107000,107500,103500,600575
837,2018-05-31,103500,500,104500,106000,103000,470392
836,2018-06-01,104500,1000,103500,107000,103500,452021
835,2018-06-04,108000,3500,104000,108500,104000,432581
834,2018-06-05,111500,3500,108000,112000,107000,477854
830,2018-06-07,111500,0,112000,113500,109000,355080
829,2018-06-08,113000,1500,112000,113500,110500,393243
828,2018-06-11,114000,1000,113000,114500,112000,251178
827,2018-06-12,114000,0,114000,114500,113000,180468
826,2018-06-14,112000,2000,114000,114000,112000,250011
823,2018-06-15,109500,2500,112000,112000,109000,336430
822,2018-06-18,107500,2000,109000,110000,106000,405910
821,2018-06-19,106500,1000,107000,110500,105500,250870
820,2018-06-20,108000,1500,106000,109000,106000,290289
819,2018-06-21,107000,1000,107500,109000,106000,172840
815,2018-06-22,114000,7000,106500,114500,106500,651617
814,2018-06-25,114000,0,114000,114500,112000,345973
813,2018-06-26,112000,2000,112500,113000,111000,250298
812,2018-06-27,111000,1000,112500,113500,110000,311174
811,2018-06-28,111500,500,110000,112500,109000,221308
808,2018-06-29,114500,3000,113000,115500,112000,579530
807,2018-07-02,111500,3000,115500,116500,111500,415693
806,2018-07-03,114000,2500,113500,115000,112500,314988
805,2018-07-04,117000,3000,114500,118000,114000,846154
804,2018-07-05,116500,500,117000,118500,115500,348243
800,2018-07-06,114500,2000,116500,117000,113000,383082
799,2018-07-09,117500,3000,114500,117500,114500,394098
